department,quarter,org_size,it_budget_per_emp,mfa_coverage,endpoint_coverage,vuln_count,mean_time_to_patch,phishing_sim_click_rate,training_completion_rate,login_failures_per_user,cloud_misconfig_count,security_incidents
Accounting,Q1-2023,474,2916.58,0.572,0.865,10,45.5,0.137,0.663,2.59,3,0
Accounting,Q1-2024,474,2916.58,0.572,0.865,8,58.9,0.136,0.844,1.04,1,0
Accounting,Q2-2023,474,2916.58,0.572,0.865,7,25.4,0.1,0.496,2.62,6,0
Accounting,Q2-2024,474,2916.58,0.572,0.865,10,41.1,0.101,0.659,3.31,8,0
Accounting,Q3-2023,474,2916.58,0.572,0.865,8,78.4,0.305,0.53,2.4,2,0
Accounting,Q3-2024,474,2916.58,0.572,0.865,7,50,0.126,0.721,1.66,3,0
Accounting,Q4-2023,474,2916.58,0.572,0.865,12,36,0.208,0.766,2.61,3,0
Accounting,Q4-2024,474,2916.58,0.572,0.865,8,70,0.233,0.765,1.31,3,0
Business Development,Q1-2023,681,5289,0.743,0.709,17,49.2,0.193,0.889,2.05,6,0
Business Development,Q1-2024,681,5289,0.743,0.709,12,65.6,1.323,0.99,2.24,5,0
Business Development,Q2-2023,681,5289,0.743,0.709,14,36.3,0.35,0.85,2.6,7,0
Business Development,Q2-2024,681,5289,0.743,0.709,16,40.4,0.35,0.748,1.28,11,0
Business Development,Q3-2023,681,5289,0.743,0.709,11,36.6,0.045,0.785,3.45,6,0
Business Development,Q3-2024,681,5289,0.743,0.709,11,29.8,0.127,0.884,2.43,6,0
Business Development,Q4-2023,681,5289,0.743,0.709,11,32.3,0.261,0.556,2.55,3,0
Business Development,Q4-2024,681,5289,0.743,0.709,19,54.9,0.133,0.895,1.56,5,0
Clinical Operations,Q1-2023,4369,5582.31,0.79,0.851,121,33.3,0.023,0.829,2.21,5,0
Clinical Operations,Q1-2024,4369,5582.31,0.79,0.851,134,37.2,0.126,0.885,1.77,10,0
Clinical Operations,Q2-2023,4369,5582.31,0.79,0.851,123,18.3,0.081,0.955,1.16,6,0
Clinical Operations,Q2-2024,4369,5582.31,0.79,0.851,72,1,0.218,0.99,1.06,3,2
Clinical Operations,Q3-2023,4369,5582.31,0.79,0.851,120,46.5,0.103,0.739,1.33,7,0
Clinical Operations,Q3-2024,4369,5582.31,0.79,0.851,117,27.7,0.193,0.643,1.49,2,5
Clinical Operations,Q4-2023,4369,5582.31,0.79,0.851,81,44.8,0.036,0.901,2.57,8,0
Clinical Operations,Q4-2024,4369,5582.31,0.79,0.851,92,20.7,0.261,0.976,1.97,5,3
Compliance,Q1-2023,178,4643.33,0.816,0.836,6,43.3,0.35,0.77,2.44,5,0
Compliance,Q1-2024,178,4643.33,0.816,0.836,2,38.5,0.19,,2.87,3,0
Compliance,Q2-2023,178,4643.33,0.816,0.836,4,41.4,0.179,0.808,2.12,3,0
Compliance,Q2-2024,178,4643.33,0.816,0.836,2,6.2,0.291,0.735,2.43,3,0
Compliance,Q3-2023,178,4643.33,0.816,0.836,8,23.3,0.112,0.782,1.73,4,0
