department,quarter,org_size,it_budget_per_emp,mfa_coverage,endpoint_coverage,vuln_count,mean_time_to_patch,phishing_sim_click_rate,training_completion_rate,login_failures_per_user,cloud_misconfig_count,vuln_x_endpoint_gap,security_incidents
Sales,Q2-2024,25000,3789.53,0.99,0.99,105,48.1,0.048,0.726,2.0,5,27.193,12
Data Science,Q1-2024,2228,4439.14,0.78,0.912,41,40.3,0.331,0.775,2.26,3,3.621,0
Business Development,Q1-2024,1813,6140.66,0.978,0.794,23,12.5,0.065,0.79,1.94,3,4.738,0
R&D,Q3-2023,3556,4837.97,0.691,0.781,62,61.1,0.105,0.81,1.48,3,13.586,0
R&D,Q2-2023,1099,5361.6,0.804,0.678,20,31.5,0.377,0.784,1.57,2,6.431,0
Training,Q2-2024,2048,4497.84,0.676,0.861,42,58.4,0.192,0.625,2.78,1,5.846,0
Internal Audit,Q1-2023,2465,3536.64,0.724,0.767,52,37.8,0.344,0.574,2.78,5,12.105,0
Risk Management,Q2-2024,4116,4655.28,0.727,0.775,57,52.4,0.386,0.703,1.9,5,12.802,0
Customer Support,Q3-2024,3263,4377.08,0.716,0.83,N/A,35.6,0.176,0.706,2.23,1,8.141,0
DevOps,Q2-2024,5420,4903.83,0.847,0.992,89,26.4,0.268,0.834,1.57,2,0.682,0
Legal,Q4-2024,2742,4633.07,0.834,0.975,46,45.5,0.391,0.592,2.28,0,1.15,0
Training,Q4-2023,1700,5927.26,0.845,0.815,26,42.6,0.087,0.803,2.43,4,4.817,0
Procurement,Q3-2023,2938,4759.05,0.888,0.692,52,35.7,0.107,0.791,1.49,5,16.031,0
Business Development,Q4-2023,1346,4702.53,0.945,0.776,20,47.2,0.213,0.833,1.39,3,4.474,0
Risk Management,Q4-2023,1794,5314.21,0.651,0.853,N/A,39.8,0.128,,2.05,5,4.415,0
Legal,Q3-2024,4686,4664.32,0.613,0.879,77,34.2,0.093,0.681,1.68,2,9.341,0
Training,Q1-2024,1109,3062.04,0.923,0.737,16,45.2,0.223,0.498,1.42,6,4.21,0
Operations,Q2-2023,1322,3551.2,0.723,0.662,19,54.2,0.078,0.508,2.06,5,6.431,0
Training,Q3-2023,1315,3827.15,0.754,0.71,27,51.6,0.248,0.577,1.8,3,7.84,0
Training,Q1-2023,408,4410.91,0.792,0.804,6,34.8,0.194,0.73,2.11,5,1.177,0
Field Services,Q4-2023,2951,4726.37,0.904,0.91,55,25.8,0.14,0.795,1.31,4,4.959,0
Sales,Q3-2023,3812,4321.23,0.817,0.845,72,54.6,0.263,0.746,2.16,2,11.195,0
Customer Support,Q2-2023,4402,4341.02,0.715,0.745,84,55.1,0.028,0.747,0.84,5,21.462,0
E-commerce,Q2-2023,947,4259.36,0.768,0.826,18,53.2,0.262,0.678,2.5,4,3.127,0
Clinical Operations,Q3-2023,5303,4672.68,0.895,0.754,94,45.8,0.129,0.688,1.75,5,23.126,0
Marketing,Q3-2024,1468,5766.02,0.806,0.793,15,27.9,0.247,0.9,1.93,7,3.112,0
Clinical Operations,Q2-2024,3021,3723.7,0.653,0.759,55,49.6,0.554,0.563,2.69,3,13.272,0
Security,Q3-2023,747,4780.5,0.769,0.866,12,34.9,0.423,0.687,1.88,3,1.609,0
E-commerce,Q4-2023,994,4019.54,0.774,0.641,10,49.7,0.216,0.673,1.75,3,3.594,0
Sales,Q4-2024,2192,4768.06,0.781,0.807,29,41.9,0.208,0.938,1.91,4,5.585,0
Internal Audit,Q2-2024,2555,2924.15,0.666,0.715,51,55.1,0.214,0.546,2.38,9,14.554,0
Investor Relations,Q2-2023,662,4971.5,0.783,0.867,8,42.4,0.21,0.806,1.36,3,1.061,0
Accounting,Q3-2023,2694,4244.48,0.701,0.817,40,37.5,0.176,0.915,1.89,6,7.314,0
IT,Q4-2023,4187,3530.92,0.705,0.845,78,44.3,0.331,0.513,2.75,2,12.081,2
Data Science,Q4-2024,1861,4194.33,0.762,0.834,31,58.2,1.618,0.645,2.18,3,5.15,0
Sales,Q1-2024,5828,4158.32,0.759,0.843,111,36.1,1.3690000000000002,0.672,2.03,2,17.41,0
Marketing,Q1-2024,1953,6311.57,1.0,0.875,N/A,26.8,0.248,0.986,2.43,2,4.002,0
Marketing,Q3-2023,5174,3198.88,0.831,0.824,92,65.7,0.152,0.594,1.34,1,16.202,0
Sales,Q1-2023,5994,5459.09,0.928,0.824,94,31.7,0.277,0.768,1.9,5,16.526,0
Engineering,Q2-2023,855,4969.59,0.762,0.987,10,33.9,0.511,0.774,2.24,0,0.128,0
Finance,Q2-2024,613,5268.57,0.78,0.78,5,48.5,0.306,0.825,1.96,2,1.102,0
Business Development,Q1-2023,5953,4545.06,0.828,0.756,104,54.8,0.266,0.863,1.67,3,25.4,0
R&D,Q3-2024,1447,4045.16,0.695,0.784,26,63.7,0.355,0.576,1.63,6,5.609,0
Accounting,Q4-2024,276,4135.0,0.852,0.802,7,45.6,0.433,0.584,1.33,2,1.387,0
Supply Chain,Q1-2024,2702,4291.81,0.551,0.872,63,54.6,0.089,0.801,1.91,4,8.086,0
HR,Q1-2024,1666,5089.72,0.584,0.844,33,41.7,0.125,0.867,1.91,5,5.162,0
Customer Support,Q4-2024,4165,4317.89,0.73,0.717,77,52.6,0.208,0.751,2.1,4,21.826,0
Compliance,Q2-2024,1076,4640.49,0.712,0.917,29,45.6,0.15,0.839,1.49,2,2.407,0
Internal Audit,Q1-2024,437,4388.04,0.812,0.865,8,64.7,1.227,0.741,1.6,4,1.081,0
Product,Q4-2024,2100,3120.6,0.623,0.894,43,53.2,0.038,0.62,2.14,7,4.548,0
