department,quarter,org_size,it_budget_per_emp,mfa_coverage,endpoint_coverage,vuln_count,mean_time_to_patch,phishing_sim_click_rate,training_completion_rate,login_failures_per_user,cloud_misconfig_count,vuln_x_endpoint_gap,security_incidents
R&D,Q4-2023,435,4296.4,0.767,0.817,3,32.8,0.133,0.701,1.81,4,0.549,0
Quality Assurance,Q4-2024,3163,5707.43,0.893,0.733,51,32.3,0.139,0.896,0.9,4,13.629,0
Accounting,Q3-2023,1916,4242.31,0.786,0.762,36,43.4,0.154,0.714,2.14,3,8.564,0
Facilities,Q2-2024,2297,5615.4,0.783,0.909,39,33.8,0.519,0.67,1.83,4,3.553,0
Engineering,Q4-2023,543,4636.3,0.884,0.907,5,36.2,0.098,0.687,2.03,3,0.467,0
R&D,Q2-2023,2778,4632.48,0.786,0.852,58,36.4,0.203,0.578,2.42,9,8.565,0
Sales,Q3-2024,5684,4740.62,0.779,0.883,97,30.1,0.201,0.823,1.9,2,11.367,0
Data Science,Q1-2024,1045,4160.98,0.871,0.873,9,51.4,0.202,0.612,2.22,2,1.142,0
Facilities,Q1-2023,1148,4187.39,0.724,0.817,22,43.3,0.409,0.59,2.25,2,4.026,0
Compliance,Q2-2024,2049,4721.88,0.804,0.864,42,32.2,0.22,0.786,0.88,6,5.712,0
Finance,Q1-2024,3250,5133.97,0.76,0.869,51,35.9,0.093,0.93,2.39,1,6.682,0
Product,Q3-2023,919,5429.68,0.752,0.856,14,44.0,0.312,0.608,2.3,3,2.019,0
Investor Relations,Q4-2024,2608,5148.5,0.69,1.0,45,21.4,0.204,0.814,1.68,1,0.0,0
Sales,Q3-2023,1117,4323.58,0.651,0.789,24,51.5,0.236,0.778,2.27,3,5.061,0
Supply Chain,Q3-2024,1089,5370.75,0.84,0.861,20,19.2,0.304,0.841,2.5,3,2.784,0
Risk Management,Q1-2024,4882,4810.08,0.843,0.753,95,42.3,0.165,0.851,1.88,2,23.511,0
R&D,Q4-2024,2874,4660.01,0.832,0.821,45,57.0,0.073,0.755,2.53,1,8.071,0
Procurement,Q2-2023,851,4536.75,0.837,0.689,14,59.2,0.344,0.513,2.3,3,4.354,0
Operations,Q1-2023,1725,4114.73,0.67,0.809,35,49.1,0.336,0.531,2.31,4,6.688,0
Training,Q2-2024,536,6417.87,0.863,0.813,5,18.1,0.037,0.913,2.45,3,0.933,0
Facilities,Q4-2024,2096,4088.68,0.662,0.907,34,45.5,0.113,0.679,2.18,6,3.166,0
Product,Q1-2024,837,3912.92,0.605,0.822,17,49.9,0.538,0.741,2.68,2,3.018,0
Customer Support,Q4-2023,1352,4784.46,0.691,0.868,25,40.0,0.139,0.789,2.97,4,3.301,0
DevOps,Q3-2024,3764,4656.92,0.838,0.776,65,37.1,0.302,0.824,1.58,1,14.549,0
Data Science,Q4-2024,831,4609.19,0.583,0.872,11,67.7,0.341,0.764,2.13,4,1.403,0
Finance,Q4-2023,2742,5191.7,0.686,0.782,43,47.1,0.265,0.856,2.8,7,9.354,0
Quality Assurance,Q1-2024,839,6834.68,0.77,0.906,21,38.0,0.262,0.985,2.12,2,1.971,0
Clinical Operations,Q3-2024,851,4150.23,0.806,0.796,18,48.1,0.252,0.731,1.78,3,3.668,0
Marketing,Q3-2024,1826,5562.29,0.926,0.989,24,35.8,0.055,0.929,1.67,3,0.258,0
Facilities,Q3-2024,2899,4082.58,0.71,0.882,47,41.3,0.244,0.769,2.24,4,5.547,0
Sales,Q1-2024,5468,4667.1,0.798,0.811,83,36.4,0.205,0.675,2.3,4,15.659,0
Legal,Q1-2023,1896,4558.22,0.853,0.892,33,36.4,0.17,0.831,2.02,5,3.572,0
