Field_ID,Crop_Type,Soil_Quality,Irrigation_Method,Fertilizer_Amount_kg_per_acre,Rainfall_inches,Pesticide_Use_liters_per_acre,Yield_tons_per_acre
1001,Corn,Good,,20.89,11.48,2.01,3.843
1002,Corn,Fair,None,250.19,20.41,2.2,4.57
1003,Corn,Good,None,39.5,22.14,2.36,3.852
1004,Corn,Poor,None,96.9,9.59,1.89,2.911
1005,Corn,Poor,None,75.29,11.85,1.93,3.118
1006,Wheat,Good,Sprinkler,55.05,20.22,1.88,3.68
1007,Wheat,Fair,None,350.0,8.8,,3.46
1008,Wheat,Poor,Sprinkler,196.42,9.99,0.58,3.099
1009,Soybeans,Poor,,198.39,8.77,1.94,3.558
1010,Corn,Good,None,103.75,0.71,1.52,3.421
1011,Soybeans,Good,None,85.87,1.68,1.63,4.012
1012,Soybeans,Fair,Drip,55.87,3.17,0.89,3.04
1013,Soybeans,Fair,Sprinkler,70.02,6.55,1.28,3.462
1014,Soybeans,Good,Drip,51.12,13.31,1.05,4.007
1015,Wheat,Poor,,120.73,9.74,1.31,3.205
1016,Corn,Fair,Drip,63.55,12.65,1.38,3.883
1017,Soybeans,Fair,None,110.9,13.62,1.1,3.498
1018,Wheat,Poor,None,43.31,10.51,1.97,2.384
1019,Wheat,Fair,Sprinkler,56.48,15.63,1.29,3.408
1020,Soybeans,Fair,Sprinkler,35.64,8.32,1.68,3.689
1021,Corn,Poor,None,66.91,2.25,2.77,2.717
1022,Corn,Good,,86.69,9.58,1.99,3.966
1023,Corn,Poor,Drip,163.14,9.78,0.96,3.73
1024,Corn,Good,None,39.54,24.24,1.16,2.98
1025,Wheat,Fair,Sprinkler,77.6,14.06,1.56,2.882
1026,Wheat,Fair,Drip,32.84,19.14,1.7,3.441
1027,Soybeans,Good,None,53.45,13.56,1.27,3.052
1028,Wheat,Fair,Drip,36.64,18.58,0.72,3.874
1029,Corn,Poor,,68.31,9.18,1.18,2.464
1030,Wheat,Good,Drip,48.64,22.57,2.01,4.805
1031,Soybeans,Good,None,128.97,2.74,1.87,3.863
1032,Corn,Good,Drip,144.1,1.76,0.92,4.596
1033,Soybeans,Good,None,81.71,1.59,1.36,3.149
1034,Wheat,Good,None,64.27,15.7,1.43,4.071
1035,Corn,Fair,Drip,67.72,3.0,0.7,3.782
1036,Corn,Good,None,37.75,28.2,2.35,2.723
1037,Corn,Fair,None,42.18,20.27,1.4,3.744
1038,Corn,Fair,None,61.81,13.19,0.98,2.801
1039,Soybeans,Fair,,74.22,19.04,2.0,3.631
1040,Corn,Fair,None,107.3,8.97,1.33,4.154
1041,Corn,Good,None,29.16,2.36,1.04,2.996
1042,Soybeans,Fair,None,52.34,26.83,0.83,2.94
1043,Corn,Good,None,70.79,21.29,1.71,4.463
1044,Corn,Fair,None,350.0,8.89,2.03,3.533
1045,Soybeans,Good,Drip,38.36,24.03,2.23,3.494
1046,Corn,Good,,78.54,3.68,1.82,3.736
1047,Corn,Fair,None,106.93,5.97,,3.902
1048,Wheat,Fair,,91.72,14.18,1.67,3.407
1049,Corn,Poor,Sprinkler,165.57,11.24,2.4,4.034
1050,Corn,Poor,None,80.24,5.12,1.78,3.279
1051,Wheat,Fair,Drip,63.17,13.28,1.97,3.799
1052,Soybeans,Poor,None,53.69,22.26,0.22,3.627
1053,Soybeans,Fair,None,75.07,3.73,1.96,3.453
1054,Soybeans,Good,None,37.31,16.54,2.15,3.878
1055,Corn,Good,,57.23,16.71,,2.959
1056,Soybeans,Fair,Drip,79.91,40.0,1.33,4.36
1057,Corn,Fair,None,89.03,9.34,0.94,3.181
1058,Corn,Poor,,57.05,6.91,1.04,2.182
1059,Wheat,Fair,None,81.23,10.34,1.08,2.977
1060,Wheat,Good,Sprinkler,44.57,2.41,1.09,3.957
1061,Corn,Poor,Drip,60.66,1.16,1.54,3.086
