Crop_Type,Soil_Quality,Irrigation_Method,Fertilizer_Amount_kg_per_acre,Rainfall_inches,Pesticide_Use_liters_per_acre,Yield_tons_per_acre
Corn,Poor,None,119.78,19.96,,2.901
Soybeans,Fair,Sprinkler,142.06,5.89,2.38,3.72
Soybeans,Poor,Drip,112.67,2.08,1.84,4.31
Wheat,Poor,None,168.61,7.17,1.34,4.11
Soybeans,Good,None,122.97,27.28,1.41,4.522
Corn,Poor,Sprinkler,136.23,16.02,1.48,4.004
Wheat,Poor,None,97.25,5.0,1.95,2.996
Soybeans,Poor,None,174.79,11.52,1.04,2.947
Corn,Poor,None,60.01,29.38,2.25,3.487
Wheat,Poor,None,295.23,6.99,1.96,3.636
Corn,Fair,None,353.5,3.2,,3.357
Corn,Fair,Sprinkler,55.94,11.98,0.89,4.336
Corn,Poor,Sprinkler,47.03,11.39,,3.181
Corn,Fair,Drip,141.39,26.27,3.56,4.517
Corn,Fair,,76.94,11.47,2.31,5.37
Corn,Poor,Sprinkler,82.65,13.68,,2.217
Soybeans,Poor,Sprinkler,194.33,14.26,,3.413
Wheat,Fair,Drip,208.75,12.55,2.58,4.097
Wheat,Good,None,105.04,5.86,2.46,4.532
Corn,Good,Sprinkler,156.86,6.64,1.19,4.674
Wheat,Fair,Drip,51.46,15.76,,3.257
Soybeans,Fair,Drip,72.26,6.68,2.26,4.212
Wheat,Poor,Sprinkler,129.32,5.37,1.1,3.944
Soybeans,Fair,Sprinkler,87.37,10.21,1.85,4.006
Corn,Fair,,36.49,20.78,1.94,2.985
Soybeans,Fair,None,269.4,11.9,1.05,3.168
Soybeans,Poor,None,95.51,26.33,1.82,4.676
Soybeans,Good,None,119.12,10.95,1.14,3.417
Corn,Fair,None,203.75,5.82,2.16,4.264
Corn,Poor,None,87.01,3.19,2.04,3.139
Corn,Fair,None,88.51,13.78,1.65,3.191
Corn,Good,None,77.11,19.48,2.02,4.487
Soybeans,Poor,Sprinkler,40.96,9.83,,1.845
Wheat,Fair,Sprinkler,39.59,3.27,1.73,3.891
Corn,Good,None,52.21,43.93,1.45,4.339
Soybeans,Fair,Sprinkler,84.58,19.02,2.6,2.865
Corn,Fair,None,89.88,21.81,2.61,4.731
Wheat,Fair,None,111.18,18.97,,2.951
Soybeans,Good,None,63.17,4.03,1.85,3.734
Wheat,Fair,None,135.45,15.86,,2.384
Corn,Fair,None,97.44,22.22,1.86,3.517
Corn,Fair,Drip,35.98,26.77,2.36,4.47
Soybeans,Poor,None,24.77,6.35,2.18,3.099
