project_id,industry,region,project_type,contract_type,is_union_site,project_size_usd,scope_complexity,close_time_days,prior_relationship_years,competition_count,discount_pct,pm_experience_years,safety_incidents,on_time_milestones_pct,customer_satisfaction,cost_overrun_pct,time_overrun_pct,payment_delay_days,n_change_orders,next12mo_spend,retained_12mo
10001,Food&Beverage,Midwest,NewBuild,GMP,0,1665000.0,3.7,43.0,3.5,1,0.8,0.5,1,80.5,4.0,0.048425654534160256,0.060125654534160265,24.0,5,422600.0,0
10002,Logistics,West,Retrofit,FixedBid,0,8942000.0,1.8,44.0,3.3,2,7.8,2.3,0,75.9,4.0,-0.06585807487464289,-0.0640980748746429,19.0,3,414700.0,0
10003,Food&Beverage,South,Expansion,GMP,1,2880000.0,2.6,109.0,3.8,1,6.8,5.9,0,89.8,3.8,-0.008136936490497244,-0.0071169364904972434,38.0,3,584400.0,0
10004,Technology,Midwest,NewBuild,GMP,1,62310000.0,4.3,43.0,10.4,0,3.7,16.7,0,91.0,3.2,0.10786633838662896,0.12746633838662896,17.0,9,588200.0,0
10005,Manufacturing,West,Expansion,GMP,1,2261000.0,3.6,82.0,5.0,3,3.5,14.7,0,97.8,3.4,0.02981667237505619,0.03983667237505619,17.0,4,641700.0,0
10006,Pharma,Midwest,TenantImprovement,GMP,0,1971000.0,2.9,101.0,2.3,0,0.0,10.8,0,75.7,3.6,0.07162678830188565,0.08750678830188566,35.0,3,465700.0,1
10007,Food&Beverage,West,Retrofit,CostPlus,1,8106000.0,3.6,50.0,8.4,4,3.2,9.4,0,79.1,5.0,-0.03831547652917617,-0.022375476529176163,0.0,6,526500.0,1
10008,Food&Beverage,Midwest,Expansion,FixedBid,1,18319000.0,3.1,54.0,5.6,3,0.6,0.6,1,100.0,3.0,-0.040198412026660135,-0.04309841202666013,28.0,5,851600.0,0
10009,Manufacturing,South,NewBuild,GMP,0,5676000.0,3.2,87.0,2.4,6,4.6,8.6,1,84.0,3.6,0.013527355119608637,0.028727355119608642,11.0,2,345700.0,1
10010,Logistics,Midwest,TenantImprovement,CostPlus,0,8519000.0,3.9,108.0,7.6,6,4.4,5.8,0,86.4,4.0,0.018494347512624024,0.027954347512624024,43.0,6,740500.0,0
10011,Logistics,Midwest,Retrofit,CostPlus,0,1233000.0,2.5,127.0,1.1,3,5.7,4.7,0,83.9,3.7,-0.032710155817693494,-0.029850155817693496,35.0,5,702000.0,1
10012,Pharma,West,TenantImprovement,FixedBid,0,3135000.0,3.2,111.0,1.3,3,7.5,8.6,2,99.6,4.7,-0.03970422079694798,-0.028864220796947976,32.0,1,686300.0,1
10013,Technology,Northeast,Retrofit,CostPlus,0,2283000.0,2.9,93.0,0.7,4,3.9,6.1,1,100.0,3.7,0.0898056112896322,0.0914056112896322,0.0,4,474100.0,1
10014,Food&Beverage,Northeast,NewBuild,FixedBid,1,1183000.0,1.6,64.0,0.4,4,9.7,11.5,1,99.4,3.7,-0.06389860404434414,-0.06303860404434415,20.0,0,695300.0,1
10015,Logistics,Midwest,NewBuild,GMP,1,5918000.0,2.3,53.0,7.3,4,4.6,0.3,1,86.3,4.5,0.09352546855488775,0.09454546855488774,6.0,2,511600.0,1
10016,Healthcare,South,Expansion,FixedBid,0,896000.0,4.8,72.0,3.8,2,0.7,8.3,0,75.5,5.0,0.04659203556428406,0.06959203556428407,27.0,3,452500.0,1
10017,Energy,West,Retrofit,GMP,1,1871000.0,3.6,104.0,0.8,4,2.6,4.5,0,100.0,4.9,0.05889002515698313,0.05739002515698314,0.0,3,488400.0,1
10018,Manufacturing,West,NewBuild,GMP,1,3507000.0,1.9,102.0,3.3,4,3.1,6.4,0,96.3,3.8,-0.0003603249925422146,-0.006240324992542218,0.0,3,461700.0,1
10019,Food&Beverage,Midwest,Expansion,CostPlus,0,2772000.0,1.7,17.0,6.1,3,5.5,9.2,1,80.5,3.9,-0.09089923182455967,-0.08049923182455967,45.0,2,405900.0,1
10020,Technology,Midwest,TenantImprovement,CostPlus,0,7401000.0,3.1,63.0,1.9,5,1.6,3.5,0,100.0,3.9,0.02520420450867423,0.02020420450867423,33.0,9,687400.0,1
10021,Food&Beverage,Northeast,Retrofit,FixedBid,0,6882000.0,4.8,132.0,2.6,5,3.3,8.7,1,79.6,4.0,0.19528330611269745,0.22122330611269742,27.0,4,433400.0,0
